zone,country,scfd2_plant,scfd3_plant,match_score,canonical_name,beerometer_plant
APAC,China,DGO China,,,DGO China,
APAC,China,DGO_Doumao,,,DGO_Doumao,
APAC,China,DGO_Kaipi,,,DGO_Kaipi,
APAC,China,DGO_Zhenxin,,,DGO_Zhenxin,
APAC,China,Dalian,,,Dalian,
APAC,China,Dangyang,,,Dangyang,
APAC,China,Dangyang_PWH,,,Dangyang_PWH,
APAC,China,Daqing,,,Daqing,
APAC,China,Daqing_PWH,,,Daqing_PWH,
APAC,China,Daqing_TRPT,,,Daqing_TRPT,
APAC,China,Doumao,,,Doumao,
APAC,China,E-C,,,E-C,
APAC,China,Export from APAC,,,Export from APAC,
APAC,China,Export from China (Foshan),,,Export from China (Foshan),
APAC,China,Export from China (Wuhan),,,Export from China (Wuhan),
APAC,China,Export from EU,,,Export from EU,
APAC,China,Export from EUROPE,,,Export from EUROPE,
APAC,China,Export from EU~10,,,Export from EU~10,
APAC,China,Export from EU~11,,,Export from EU~11,
APAC,China,Export from Korea,,,Export from Korea,
APAC,China,Export from MA,,,Export from MA,
APAC,China,Export from MA~10,,,Export from MA~10,
APAC,China,Export from MA~11,,,Export from MA~11,
APAC,China,Export from Middle Americas,,,Export from Middle Americas,
APAC,China,Export from NA,,,Export from NA,
APAC,China,Export from NA~7,,,Export from NA~7,
APAC,China,Export from NA~8,,,Export from NA~8,
APAC,China,Export from Others,,,Export from Others,
APAC,China,Export from Vietnam,,,Export from Vietnam,
APAC,China,Forchill,,,Forchill,
APAC,China,Foshan,Foshan,1.0,Foshan,Foshan
APAC,China,Foshan_PWH,,,Foshan_PWH,
APAC,China,Foshan_TRPT,,,Foshan_TRPT,
APAC,China,HangZhou-SC,,,HangZhou-SC,
APAC,China,Harbin 2,Harbin 2,1.0,Harbin 2,Harbin 2
APAC,China,Harbin 2_PWH,,,Harbin 2_PWH,
APAC,China,Harbin 2_TRPT,,,Harbin 2_TRPT,
APAC,China,Harbin Craft,Harbin Craft,1.0,Harbin Craft,
APAC,China,Heilongjiang-SC,,,Heilongjiang-SC,
APAC,China,Henan-SC,,,Henan-SC,
APAC,China,HongKong,,,HongKong,
APAC,China,Import Beer-China,,,Import Beer-China,
APAC,China,Intrazone,,,Intrazone,
APAC,China,Intrazone~8,,,Intrazone~8,
APAC,China,Jebse,,,Jebse,
APAC,China,Jebsen,,,Jebsen,
APAC,China,Jiamusi New,Jiamusi New,1.0,Jiamusi New,Jiamusi New
APAC,China,Jiamusi New_PWH,,,Jiamusi New_PWH,
APAC,China,Jiamusi New_TRPT,,,Jiamusi New_TRPT,
APAC,China,JiangSu_SC,,,JiangSu_SC,
APAC,China,Jilin-SC,,,Jilin-SC,
APAC,China,Jingmen,,,Jingmen,Jingmen
APAC,China,Jingmen_PWH,,,Jingmen_PWH,
APAC,China,Jinshibai,Jinshibai,1.0,Jinshibai,Jinshibai
APAC,China,Jinshibai_PWH,,,Jinshibai_PWH,
APAC,China,Jinshibai_TRPT,,,Jinshibai_TRPT,
APAC,China,Jinzhou,Jinzhou,1.0,Jinzhou,Jinzhou
APAC,China,Jinzhou-SC,,,Jinzhou-SC,
APAC,China,Jinzhou_PWH,,,Jinzhou_PWH,
APAC,China,Jinzhou_TRPT,,,Jinzhou_TRPT,
APAC,China,Jishui,Jishui,1.0,Jishui,Jishui
APAC,China,Jishui_PWH,,,Jishui_PWH,
APAC,China,Jishui_TRPT,,,Jishui_TRPT,
APAC,China,Kaipi,,,Kaipi,
APAC,China,Kunming,Kunming,1.0,Kunming,Kunming
APAC,China,Kunming_PWH,,,Kunming_PWH,
APAC,China,Kunming_TRPT,,,Kunming_TRPT,
APAC,China,Last Mile,,,Last Mile,
APAC,China,Mudanjiang New,Mudanjiang New,1.0,Mudanjiang New,Mudanjiang(New)
APAC,China,Mudanjiang(New)_PWH,,,Mudanjiang(New)_PWH,
APAC,China,Mudanjiang(New)_TRPT,,,Mudanjiang(New)_TRPT,
APAC,China,Nanchang,,,Nanchang,
APAC,China,Nanchang 3,Nanchang 3,1.0,Nanchang 3,Nanchang 3
APAC,China,Nanchang3_PWH,,,Nanchang3_PWH,
APAC,China,Nanchang3_TRPT,,,Nanchang3_TRPT,
APAC,China,Nanchang_PWH,,,Nanchang_PWH,
APAC,China,Nanchang_TRPT,,,Nanchang_TRPT,
APAC,China,Nanjing,,,Nanjing,
APAC,China,Nanjing_PWH,,,Nanjing_PWH,
APAC,China,Nanjing_TRPT,,,Nanjing_TRPT,
APAC,China,Nanning,Nanning,1.0,Nanning,Nanning
APAC,China,Nanning_PWH,,,Nanning_PWH,
APAC,China,Nanning_TRPT,,,Nanning_TRPT,
APAC,China,Nantong,Nantong,1.0,Nantong,Nantong
APAC,China,Nantong_PWH,,,Nantong_PWH,
APAC,China,Nantong_TRPT,,,Nantong_TRPT,
APAC,China,Ningbo,Ningbo,1.0,Ningbo,Ningbo
APAC,China,Ningbo_PWH,,,Ningbo_PWH,
APAC,China,Ningbo_TRPT,,,Ningbo_TRPT,
APAC,China,Putian,,,Putian,
APAC,China,Putian (New),Putian (New),1.0,Putian (New),Putian (New)
APAC,China,Putian (New) Craft,Putian (New) Craft,1.0,Putian (New) Craft,
APAC,China,Putian (New) Craft_PWH,,,Putian (New) Craft_PWH,
